id,lease_company,lease_period,module_output,module_manufacturer,module_model,module_count,pcs_manufacturer,pcs_model,pcs_count,pcs_model2,pcs_count2,module_pcs_cable_count,bifurcated_count,bracket_count,total_module_output,application_power_output,region,roof_material,installation_points,monthly_lease_fee_10,monthly_lease_fee_15,total_lease_amount,customer_group,application_code
1,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,8,デルタ電子,H4J_220,1,H6J_240,,2,,1,3.2,3.2,通常,立平葺,6点,7700,,924000,直販,C8MA08B6
2,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,8,デルタ電子,H4J_220,1,H6J_240,,2,,1,3.2,3.2,通常,立平葺,8点,7810,,937200,直販,C8MA08B8
3,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,9,デルタ電子,H4J_220,1,H6J_240,,2,,1,3.6,3.6,通常,立平葺,6点,8668,,1040160,直販,C8MA09B6
4,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,9,デルタ電子,H4J_220,1,H6J_240,,2,,1,3.6,3.6,通常,立平葺,8点,8789,,1054680,直販,C8MA09B8
5,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,10,デルタ電子,H4J_220,1,H6J_240,,2,,1,4,4,通常,立平葺,6点,8624,,1034880,直販,C8MA10B6
6,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,10,デルタ電子,H4J_220,1,H6J_240,,2,,1,4,4,通常,立平葺,8点,8767,,1052040,直販,C8MA10B8
7,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,11,デルタ電子,H4J_220,1,H6J_240,,3,1,1,4.4,4,通常,立平葺,6点,9482,,1137840,直販,C8MA11B6
8,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,11,デルタ電子,H4J_220,1,H6J_240,,3,1,1,4.4,4,通常,立平葺,8点,9636,,1156320,直販,C8MA11B8
9,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,12,デルタ電子,H4J_220,1,H6J_240,,3,1,1,4.8,4,通常,立平葺,6点,10351,,1242120,直販,C8MA12B6
10,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,12,デルタ電子,H4J_220,1,H6J_240,,3,1,1,4.8,4,通常,立平葺,8点,10516,,1261920,直販,C8MA12B8
11,大阪ガスファイナンス,10年,400,maxeon,SPR-MAX3-400,13,デルタ電子,H4J_220,1,H6J_240,,3,1,1,5.2,4,通常,立平葺,6点,11209,,1345080,直販,C8MA13B6
